Area,Count,Event Type,Population,Race,Sex,Year
Alabama,9913,Mortality,4565917,All Races,Male and Female,2005
Alabama,23310,Incidence,4628981,All Races,Male and Female,2006
Alabama,9899,Mortality,4628981,All Races,Male and Female,2006
Alabama,24156,Incidence,4672840,All Races,Male and Female,2007
Alabama,10025,Mortality,4672840,All Races,Male and Female,2007
Alabama,124415,Incidence,23737435,All Races,Male and Female,2009
Alabama,50591,Mortality,23563366,All Races,Male and Female,2009
Alabama,25254,Incidence,4718206,All Races,Male and Female,2008
Alabama,10182,Mortality,4718206,All Races,Male and Female,2008
Alabama,25189,Incidence,4757938,All Races,Male and Female,2009
Alabama,10289,Mortality,4757938,All Races,Male and Female,2009
Alabama,25048,Incidence,4784762,All Races,Male and Female,2010
Alabama,10196,Mortality,4785401,All Races,Male and Female,2010
Alabama,24768,Incidence,4803689,All Races,Male and Female,2011
Alabama,10196,Mortality,4785401,All Races,Male and Female,2011
Alabama,984,Mortality,623475,Black,Female,1999
Alabama,1848,Incidence,627439,Black,Female,2000
Alabama,977,Mortality,627439,Black,Female,2000
Alabama,1970,Incidence,630901,Black,Female,2001
Alabama,1077,Mortality,630901,Black,Female,2001
Alabama,1979,Incidence,633374,Black,Female,2002
Alabama,1011,Mortality,633374,Black,Female,2002
Alabama,2023,Incidence,636876,Black,Female,2003
Alabama,1018,Mortality,636876,Black,Female,2003
Alabama,2141,Incidence,641873,Black,Female,2004
Alabama,1016,Mortality,641873,Black,Female,2004
Alabama,2227,Incidence,647132,Black,Female,2005
Alabama,1032,Mortality,647132,Black,Female,2005
Alabama,2147,Incidence,657654,Black,Female,2006
Alabama,1004,Mortality,657654,Black,Female,2006
Alabama,2293,Incidence,664831,Black,Female,2007
Alabama,1076,Mortality,664831,Black,Female,2007
Alabama,12174,Incidence,3390753,Black,Female,2009
Alabama,5294,Mortality,3358838,Black,Female,2009
Alabama,2435,Incidence,673102,Black,Female,2008
Alabama,1079,Mortality,673102,Black,Female,2008
Alabama,2460,Incidence,678586,Black,Female,2009
Alabama,1073,Mortality,678586,Black,Female,2009
Alabama,2484,Incidence,684469,Black,Female,2010
Alabama,1062,Mortality,684665,Black,Female,2010
Alabama,2502,Incidence,689765,Black,Female,2011
Alabama,1062,Mortality,684665,Black,Female,2011
Alabama,1219,Mortality,539198,Black,Male,1999
Alabama,2062,Incidence,543178,Black,Male,2000
Alabama,1235,Mortality,543178,Black,Male,2000
Alabama,2235,Incidence,546578,Black,Male,2001
Alabama,1276,Mortality,546578,Black,Male,2001
Alabama,2310,Incidence,549217,Black,Male,2002
Alabama,1223,Mortality,549217,Black,Male,2002
Alabama,2235,Incidence,553307,Black,Male,2003
Alabama,1220,Mortality,553307,Black,Male,2003
Alabama,2507,Incidence,557319,Black,Male,2004
Alabama,1187,Mortality,557319,Black,Male,2004
Alabama,2612,Incidence,562888,Black,Male,2005
Alabama,1235,Mortality,562888,Black,Male,2005
Alabama,2623,Incidence,572880,Black,Male,2006
Alabama,1221,Mortality,572880,Black,Male,2006
Alabama,2692,Incidence,579036,Black,Male,2007
Alabama,1278,Mortality,579036,Black,Male,2007
Alabama,13981,Incidence,2958467,Black,Male,2009
Alabama,6229,Mortality,2929130,Black,Male,2009
Alabama,2866,Incidence,586075,Black,Male,2008
Alabama,1244,Mortality,586075,Black,Male,2008
Alabama,2880,Incidence,592661,Black,Male,2009
Alabama,1277,Mortality,592661,Black,Male,2009
Alabama,2790,Incidence,598247,Black,Male,2010
Alabama,1209,Mortality,598478,Black,Male,2010
Alabama,2753,Incidence,602448,Black,Male,2011
Alabama,1209,Mortality,598478,Black,Male,2011
Alabama,2203,Mortality,1162673,Black,Male and Female,1999
Alabama,3910,Incidence,1170617,Black,Male and Female,2000
Alabama,2212,Mortality,1170617,Black,Male and Female,2000
Alabama,4205,Incidence,1177479,Black,Male and Female,2001
Alabama,2353,Mortality,1177479,Black,Male and Female,2001
Alabama,4289,Incidence,1182591,Black,Male and Female,2002
Alabama,2234,Mortality,1182591,Black,Male and Female,2002
Alabama,4258,Incidence,1190183,Black,Male and Female,2003
Alabama,2238,Mortality,1190183,Black,Male and Female,2003
Alabama,4648,Incidence,1199192,Black,Male and Female,2004
Alabama,2203,Mortality,1199192,Black,Male and Female,2004
Alabama,4839,Incidence,1210020,Black,Male and Female,2005
Alabama,2267,Mortality,1210020,Black,Male and Female,2005
Alabama,4770,Incidence,1230534,Black,Male and Female,2006
Alabama,2225,Mortality,1230534,Black,Male and Female,2006
Alabama,4985,Incidence,1243867,Black,Male and Female,2007
Alabama,2354,Mortality,1243867,Black,Male and Female,2007
Alabama,26155,Incidence,6349220,Black,Male and Female,2009
Alabama,11523,Mortality,6287968,Black,Male and Female,2009
Alabama,5301,Incidence,1259177,Black,Male and Female,2008
Alabama,2323,Mortality,1259177,Black,Male and Female,2008
Alabama,5340,Incidence,1271247,Black,Male and Female,2009
Alabama,2350,Mortality,1271247,Black,Male and Female,2009
Alabama,5274,Incidence,1282716,Black,Male and Female,2010
Alabama,2271,Mortality,1283143,Black,Male and Female,2010
Alabama,5255,Incidence,1292213,Black,Male and Female,2011
Alabama,2271,Mortality,1283143,Black,Male and Female,2011
Alabama,0,Mortality,28101,Hispanic,Female,1999
Alabama,32,Incidence,33147,Hispanic,Female,2000
Alabama,0,Mortality,33147,Hispanic,Female,2000
Alabama,42,Incidence,37034,Hispanic,Female,2001
Alabama,0,Mortality,37034,Hispanic,Female,2001
Alabama,52,Incidence,40803,Hispanic,Female,2002
Alabama,0,Mortality,40803,Hispanic,Female,2002
Alabama,41,Incidence,44927,Hispanic,Female,2003
Alabama,0,Mortality,44927,Hispanic,Female,2003
Alabama,50,Incidence,49391,Hispanic,Female,2004
Alabama,0,Mortality,49391,Hispanic,Female,2004
Alabama,54,Incidence,54647,Hispanic,Female,2005
Alabama,0,Mortality,54647,Hispanic,Female,2005
Alabama,58,Incidence,60364,Hispanic,Female,2006
Alabama,0,Mortality,60364,Hispanic,Female,2006
Alabama,61,Incidence,66377,Hispanic,Female,2007
Alabama,22,Mortality,66377,Hispanic,Female,2007
Alabama,389,Incidence,384119,Hispanic,Female,2009
Alabama,73,Mortality,359043,Hispanic,Female,2009
Alabama,94,Incidence,72259,Hispanic,Female,2008
Alabama,0,Mortality,72259,Hispanic,Female,2008
Alabama,69,Incidence,77734,Hispanic,Female,2009
Alabama,0,Mortality,77734,Hispanic,Female,2009
Alabama,71,Incidence,82236,Hispanic,Female,2010
Alabama,17,Mortality,82309,Hispanic,Female,2010
Alabama,94,Incidence,85513,Hispanic,Female,2011
Alabama,17,Mortality,82309,Hispanic,Female,2011
Alabama,0,Mortality,37082,Hispanic,Male,1999
Alabama,43,Incidence,43869,Hispanic,Male,2000
Alabama,0,Mortality,43869,Hispanic,Male,2000
Alabama,41,Incidence,48688,Hispanic,Male,2001
Alabama,0,Mortality,48688,Hispanic,Male,2001
Alabama,48,Incidence,53376,Hispanic,Male,2002
Alabama,0,Mortality,53376,Hispanic,Male,2002
Alabama,41,Incidence,58545,Hispanic,Male,2003
Alabama,0,Mortality,58545,Hispanic,Male,2003
Alabama,69,Incidence,63893,Hispanic,Male,2004
Alabama,0,Mortality,63893,Hispanic,Male,2004
Alabama,71,Incidence,70344,Hispanic,Male,2005
Alabama,18,Mortality,70344,Hispanic,Male,2005
Alabama,66,Incidence,77478,Hispanic,Male,2006
Alabama,0,Mortality,77478,Hispanic,Male,2006
Alabama,69,Incidence,84275,Hispanic,Male,2007
Alabama,0,Mortality,84275,Hispanic,Male,2007
Alabama,405,Incidence,485102,Hispanic,Male,2009
Alabama,97,Mortality,456381,Hispanic,Male,2009
Alabama,87,Incidence,91450,Hispanic,Male,2008
Alabama,27,Mortality,91450,Hispanic,Male,2008
Alabama,69,Incidence,98784,Hispanic,Male,2009
Alabama,23,Mortality,98784,Hispanic,Male,2009
Alabama,93,Incidence,104292,Hispanic,Male,2010
Alabama,23,Mortality,104394,Hispanic,Male,2010
Alabama,87,Incidence,106301,Hispanic,Male,2011
Alabama,23,Mortality,104394,Hispanic,Male,2011
Alabama,17,Mortality,65183,Hispanic,Male and Female,1999
Alabama,75,Incidence,77016,Hispanic,Male and Female,2000
Alabama,0,Mortality,77016,Hispanic,Male and Female,2000
Alabama,83,Incidence,85722,Hispanic,Male and Female,2001
Alabama,18,Mortality,85722,Hispanic,Male and Female,2001
Alabama,100,Incidence,94179,Hispanic,Male and Female,2002
Alabama,23,Mortality,94179,Hispanic,Male and Female,2002
Alabama,82,Incidence,103472,Hispanic,Male and Female,2003
Alabama,17,Mortality,103472,Hispanic,Male and Female,2003
Alabama,119,Incidence,113284,Hispanic,Male and Female,2004
Alabama,24,Mortality,113284,Hispanic,Male and Female,2004
Alabama,125,Incidence,124991,Hispanic,Male and Female,2005
Alabama,31,Mortality,124991,Hispanic,Male and Female,2005
Alabama,124,Incidence,137842,Hispanic,Male and Female,2006
Alabama,18,Mortality,137842,Hispanic,Male and Female,2006
Alabama,130,Incidence,150652,Hispanic,Male and Female,2007
Alabama,33,Mortality,150652,Hispanic,Male and Female,2007
Alabama,794,Incidence,869221,Hispanic,Male and Female,2009
Alabama,170,Mortality,815424,Hispanic,Male and Female,2009
Alabama,181,Incidence,163709,Hispanic,Male and Female,2008
Alabama,42,Mortality,163709,Hispanic,Male and Female,2008
Alabama,138,Incidence,176518,Hispanic,Male and Female,2009
Alabama,37,Mortality,176518,Hispanic,Male and Female,2009
Alabama,164,Incidence,186528,Hispanic,Male and Female,2010
Alabama,40,Mortality,186703,Hispanic,Male and Female,2010
Alabama,181,Incidence,191814,Hispanic,Male and Female,2011
Alabama,40,Mortality,186703,Hispanic,Male and Female,2011
Alabama,3373,Mortality,1640665,White,Female,1999
Alabama,7441,Incidence,1643761,White,Female,2000
Alabama,3438,Mortality,1643761,White,Female,2000
Alabama,7884,Incidence,1645541,White,Female,2001
Alabama,3460,Mortality,1645541,White,Female,2001
Alabama,8058,Incidence,1646445,White,Female,2002
Alabama,3382,Mortality,1646445,White,Female,2002
Alabama,7468,Incidence,1650890,White,Female,2003
Alabama,3435,Mortality,1650890,White,Female,2003
Alabama,8002,Incidence,1657539,White,Female,2004
Alabama,3464,Mortality,1657539,White,Female,2004
Alabama,8143,Incidence,1666877,White,Female,2005
Alabama,3544,Mortality,1666877,White,Female,2005
Alabama,8276,Incidence,1685050,White,Female,2006
Alabama,3460,Mortality,1685050,White,Female,2006
Alabama,8531,Incidence,1697518,White,Female,2007
Alabama,3403,Mortality,1697518,White,Female,2007
Alabama,44031,Incidence,8585884,White,Female,2009
Alabama,17485,Mortality,8539689,White,Female,2009
Alabama,8961,Incidence,1710122,White,Female,2008
Alabama,3516,Mortality,1710122,White,Female,2008
Alabama,8931,Incidence,1720115,White,Female,2009
Alabama,3570,Mortality,1720115,White,Female,2009
Alabama,8904,Incidence,1726861,White,Female,2010
Alabama,3536,Mortality,1726884,White,Female,2010
Alabama,8704,Incidence,1731268,White,Female,2011
Alabama,3536,Mortality,1726884,White,Female,2011
Alabama,3912,Mortality,1570643,White,Male,1999
Alabama,8097,Incidence,1576095,White,Male,2000
Alabama,4137,Mortality,1576095,White,Male,2000
Alabama,8785,Incidence,1580087,White,Male,2001
Alabama,3961,Mortality,1580087,White,Male,2001
Alabama,8873,Incidence,1583267,White,Male,2002
Alabama,4053,Mortality,1583267,White,Male,2002
Alabama,8825,Incidence,1590946,White,Male,2003
Alabama,4102,Mortality,1590946,White,Male,2003
Alabama,9396,Incidence,1598272,White,Male,2004
Alabama,4057,Mortality,1598272,White,Male,2004
Alabama,9392,Incidence,1609163,White,Male,2005
Alabama,4067,Mortality,1609163,White,Male,2005
Alabama,10013,Incidence,1629110,White,Male,2006
Alabama,4170,Mortality,1629110,White,Male,2006
Alabama,10301,Incidence,1643115,White,Male,2007
Alabama,4242,Mortality,1643115,White,Male,2007
Alabama,51910,Incidence,8319320,White,Male,2009
Alabama,21371,Mortality,8271927,White,Male,2009
Alabama,10525,Incidence,1656414,White,Male,2008
Alabama,4294,Mortality,1656414,White,Male,2008
Alabama,10452,Incidence,1669087,White,Male,2009
Alabama,4329,Mortality,1669087,White,Male,2009
Alabama,10408,Incidence,1674032,White,Male,2010
Alabama,4336,Mortality,1674201,White,Male,2010
Alabama,10224,Incidence,1676672,White,Male,2011
Alabama,4336,Mortality,1674201,White,Male,2011
Alabama,7285,Mortality,3211308,White,Male and Female,1999
Alabama,15538,Incidence,3219856,White,Male and Female,2000
Alabama,7575,Mortality,3219856,White,Male and Female,2000
Alabama,16669,Incidence,3225628,White,Male and Female,2001
Alabama,7421,Mortality,3225628,White,Male and Female,2001
Alabama,16931,Incidence,3229712,White,Male and Female,2002
Alabama,7435,Mortality,3229712,White,Male and Female,2002
Alabama,16293,Incidence,3241836,White,Male and Female,2003
Alabama,7537,Mortality,3241836,White,Male and Female,2003
Alabama,17398,Incidence,3255811,White,Male and Female,2004
Alabama,7521,Mortality,3255811,White,Male and Female,2004
Alabama,17535,Incidence,3276040,White,Male and Female,2005
Alabama,7611,Mortality,3276040,White,Male and Female,2005
Alabama,18289,Incidence,3314160,White,Male and Female,2006
Alabama,7630,Mortality,3314160,White,Male and Female,2006
Alabama,18832,Incidence,3340633,White,Male and Female,2007
Alabama,7645,Mortality,3340633,White,Male and Female,2007
Alabama,95941,Incidence,16905204,White,Male and Female,2009
Alabama,38856,Mortality,16811616,White,Male and Female,2009
Alabama,19486,Incidence,3366536,White,Male and Female,2008
Alabama,7810,Mortality,3366536,White,Male and Female,2008
Alabama,19383,Incidence,3389202,White,Male and Female,2009
Alabama,7899,Mortality,3389202,White,Male and Female,2009
Alabama,19312,Incidence,3400893,White,Male and Female,2010
Alabama,7872,Mortality,3401085,White,Male and Female,2010
Alabama,18928,Incidence,3407940,White,Male and Female,2011
Alabama,7872,Mortality,3401085,White,Male and Female,2011
Alaska,941,Incidence,301266,All Races,Female,1999
Alaska,295,Mortality,301266,All Races,Female,1999
Alaska,982,Incidence,303213,All Races,Female,2000
Alaska,331,Mortality,303213,All Races,Female,2000
Alaska,1016,Incidence,305579,All Races,Female,2001
Alaska,315,Mortality,305579,All Races,Female,2001
Alaska,986,Incidence,309633,All Races,Female,2002
Alaska,317,Mortality,309633,All Races,Female,2002
Alaska,1045,Incidence,313034,All Races,Female,2003
Alaska,322,Mortality,313034,All Races,Female,2003
Alaska,1116,Incidence,317807,All Races,Female,2004
Alaska,317,Mortality,317807,All Races,Female,2004
Alaska,1148,Incidence,320920,All Races,Female,2005
Alaska,328,Mortality,320920,All Races,Female,2005
Alaska,1192,Incidence,325121,All Races,Female,2006
Alaska,381,Mortality,325121,All Races,Female,2006
Alaska,1181,Incidence,327138,All Races,Female,2007
Alaska,383,Mortality,327138,All Races,Female,2007
Alaska,6221,Incidence,1684131,All Races,Female,2009
Alaska,1958,Mortality,1661250,All Races,Female,2009
Alaska,1272,Incidence,329412,All Races,Female,2008
Alaska,397,Mortality,329412,All Races,Female,2008
Alaska,1215,Incidence,337002,All Races,Female,2009
Alaska,404,Mortality,337002,All Races,Female,2009
Alaska,1289,Incidence,342540,All Races,Female,2010
Alaska,393,Mortality,342577,All Races,Female,2010
Alaska,1264,Incidence,348039,All Races,Female,2011
Alaska,393,Mortality,342577,All Races,Female,2011
Alaska,1026,Incidence,323513,All Races,Male,1999
Alaska,338,Mortality,323513,All Races,Male,1999
Alaska,1072,Incidence,324750,All Races,Male,2000
Alaska,373,Mortality,324750,All Races,Male,2000
Alaska,1172,Incidence,328135,All Races,Male,2001
Alaska,374,Mortality,328135,All Races,Male,2001
Alaska,1253,Incidence,332704,All Races,Male,2002
Alaska,398,Mortality,332704,All Races,Male,2002
Alaska,1219,Incidence,335380,All Races,Male,2003
Alaska,413,Mortality,335380,All Races,Male,2003
Alaska,1317,Incidence,341479,All Races,Male,2004
Alaska,411,Mortality,341479,All Races,Male,2004
Alaska,1222,Incidence,346026,All Races,Male,2005
Alaska,404,Mortality,346026,All Races,Male,2005
Alaska,1304,Incidence,350181,All Races,Male,2006
Alaska,409,Mortality,350181,All Races,Male,2006
Alaska,1334,Incidence,353162,All Races,Male,2007
Alaska,456,Mortality,353162,All Races,Male,2007
Alaska,6986,Incidence,1820425,All Races,Male,2009
Alaska,2317,Mortality,1794848,All Races,Male,2009
Alaska,1398,Incidence,358043,All Races,Male,2008
Alaska,470,Mortality,358043,All Races,Male,2008
Alaska,1431,Incidence,361893,All Races,Male,2009
Alaska,491,Mortality,361893,All Races,Male,2009
Alaska,1455,Incidence,371506,All Races,Male,2010
Alaska,491,Mortality,371569,All Races,Male,2010
Alaska,1368,Incidence,375821,All Races,Male,2011
Alaska,491,Mortality,371569,All Races,Male,2011
Alaska,1967,Incidence,624779,All Races,Male and Female,1999
Alaska,633,Mortality,624779,All Races,Male and Female,1999
Alaska,2054,Incidence,627963,All Races,Male and Female,2000
Alaska,704,Mortality,627963,All Races,Male and Female,2000
Alaska,2188,Incidence,633714,All Races,Male and Female,2001
Alaska,689,Mortality,633714,All Races,Male and Female,2001
Alaska,2239,Incidence,642337,All Races,Male and Female,2002
Alaska,715,Mortality,642337,All Races,Male and Female,2002
Alaska,2264,Incidence,648414,All Races,Male and Female,2003
Alaska,735,Mortality,648414,All Races,Male and Female,2003
Alaska,2433,Incidence,659286,All Races,Male and Female,2004
Alaska,728,Mortality,659286,All Races,Male and Female,2004
Alaska,2370,Incidence,666946,All Races,Male and Female,2005
Alaska,732,Mortality,666946,All Races,Male and Female,2005
Alaska,2496,Incidence,675302,All Races,Male and Female,2006
Alaska,790,Mortality,675302,All Races,Male and Female,2006
Alaska,2515,Incidence,680300,All Races,Male and Female,2007
Alaska,839,Mortality,680300,All Races,Male and Female,2007
Alaska,13207,Incidence,3504556,All Races,Male and Female,2009
Alaska,4275,Mortality,3456098,All Races,Male and Female,2009
Alaska,2670,Incidence,687455,All Races,Male and Female,2008
Alaska,867,Mortality,687455,All Races,Male and Female,2008
Alaska,2646,Incidence,698895,All Races,Male and Female,2009
Alaska,895,Mortality,698895,All Races,Male and Female,2009
Alaska,2744,Incidence,714046,All Races,Male and Female,2010
Alaska,884,Mortality,714146,All Races,Male and Female,2010
Alaska,2632,Incidence,723860,All Races,Male and Female,2011
Alaska,884,Mortality,714146,All Races,Male and Female,2011
Alaska,22,Incidence,12710,Black,Female,1999
Alaska,0,Mortality,12710,Black,Female,1999
Alaska,16,Incidence,12728,Black,Female,2000
Alaska,0,Mortality,12728,Black,Female,2000
Alaska,27,Incidence,12905,Black,Female,2001
Alaska,0,Mortality,12905,Black,Female,2001
Alaska,27,Incidence,13286,Black,Female,2002
Alaska,0,Mortality,13286,Black,Female,2002
Alaska,26,Incidence,13418,Black,Female,2003
Alaska,0,Mortality,13418,Black,Female,2003
Alaska,29,Incidence,13519,Black,Female,2004
Alaska,0,Mortality,13519,Black,Female,2004
Alaska,23,Incidence,13402,Black,Female,2005
Alaska,0,Mortality,13402,Black,Female,2005
Alaska,18,Incidence,13612,Black,Female,2006
Alaska,0,Mortality,13612,Black,Female,2006
Alaska,30,Incidence,13735,Black,Female,2007
Alaska,0,Mortality,13735,Black,Female,2007
Alaska,141,Incidence,71429,Black,Female,2009
Alaska,40,Mortality,69958,Black,Female,2009
Alaska,27,Incidence,13771,Black,Female,2008
Alaska,0,Mortality,13771,Black,Female,2008
Alaska,27,Incidence,14302,Black,Female,2009
Alaska,0,Mortality,14302,Black,Female,2009
Alaska,34,Incidence,14529,Black,Female,2010
Alaska,0,Mortality,14538,Black,Female,2010
Alaska,23,Incidence,15092,Black,Female,2011
Alaska,0,Mortality,14538,Black,Female,2011
Alaska,32,Incidence,13900,Black,Male,1999
Alaska,0,Mortality,13900,Black,Male,1999
Alaska,35,Incidence,13979,Black,Male,2000
Alaska,0,Mortality,13979,Black,Male,2000
Alaska,37,Incidence,14442,Black,Male,2001
Alaska,17,Mortality,14442,Black,Male,2001
Alaska,36,Incidence,14871,Black,Male,2002
Alaska,0,Mortality,14871,Black,Male,2002
Alaska,31,Incidence,14778,Black,Male,2003
Alaska,0,Mortality,14778,Black,Male,2003
Alaska,41,Incidence,15144,Black,Male,2004
Alaska,0,Mortality,15144,Black,Male,2004
Alaska,40,Incidence,15369,Black,Male,2005
Alaska,17,Mortality,15369,Black,Male,2005
Alaska,33,Incidence,15466,Black,Male,2006
Alaska,0,Mortality,15466,Black,Male,2006
Alaska,37,Incidence,15857,Black,Male,2007
Alaska,17,Mortality,15857,Black,Male,2007
Alaska,219,Incidence,83381,Black,Male,2009
Alaska,63,Mortality,81105,Black,Male,2009
Alaska,42,Incidence,16304,Black,Male,2008
Alaska,18,Mortality,16304,Black,Male,2008
Alaska,44,Incidence,16271,Black,Male,2009
Alaska,0,Mortality,16271,Black,Male,2009
Alaska,59,Incidence,17191,Black,Male,2010
Alaska,0,Mortality,17207,Black,Male,2010
Alaska,37,Incidence,17758,Black,Male,2011
Alaska,0,Mortality,17207,Black,Male,2011
Alaska,54,Incidence,26610,Black,Male and Female,1999
Alaska,0,Mortality,26610,Black,Male and Female,1999
Alaska,51,Incidence,26707,Black,Male and Female,2000
Alaska,21,Mortality,26707,Black,Male and Female,2000
Alaska,64,Incidence,27347,Black,Male and Female,2001
Alaska,21,Mortality,27347,Black,Male and Female,2001
Alaska,63,Incidence,28157,Black,Male and Female,2002
Alaska,22,Mortality,28157,Black,Male and Female,2002
Alaska,57,Incidence,28196,Black,Male and Female,2003
Alaska,16,Mortality,28196,Black,Male and Female,2003
Alaska,70,Incidence,28663,Black,Male and Female,2004
Alaska,16,Mortality,28663,Black,Male and Female,2004
Alaska,63,Incidence,28771,Black,Male and Female,2005
Alaska,26,Mortality,28771,Black,Male and Female,2005
Alaska,51,Incidence,29078,Black,Male and Female,2006
Alaska,0,Mortality,29078,Black,Male and Female,2006
Alaska,67,Incidence,29592,Black,Male and Female,2007
Alaska,25,Mortality,29592,Black,Male and Female,2007
Alaska,360,Incidence,154810,Black,Male and Female,2009
Alaska,103,Mortality,151063,Black,Male and Female,2009
Alaska,69,Incidence,30075,Black,Male and Female,2008
Alaska,28,Mortality,30075,Black,Male and Female,2008
Alaska,71,Incidence,30573,Black,Male and Female,2009
Alaska,0,Mortality,30573,Black,Male and Female,2009
Alaska,93,Incidence,31720,Black,Male and Female,2010
Alaska,28,Mortality,31745,Black,Male and Female,2010
Alaska,60,Incidence,32850,Black,Male and Female,2011
Alaska,28,Mortality,31745,Black,Male and Female,2011
Alaska,21,Incidence,11664,Hispanic,Female,1999
Alaska,0,Mortality,11664,Hispanic,Female,1999
Alaska,17,Incidence,12643,Hispanic,Female,2000
Alaska,0,Mortality,12643,Hispanic,Female,2000
Alaska,28,Incidence,13547,Hispanic,Female,2001
Alaska,0,Mortality,13547,Hispanic,Female,2001
Alaska,18,Incidence,14458,Hispanic,Female,2002
Alaska,0,Mortality,14458,Hispanic,Female,2002
Alaska,0,Incidence,15227,Hispanic,Female,2003
Alaska,0,Mortality,15227,Hispanic,Female,2003
Alaska,27,Incidence,15937,Hispanic,Female,2004
Alaska,0,Mortality,15937,Hispanic,Female,2004
Alaska,31,Incidence,16600,Hispanic,Female,2005
Alaska,0,Mortality,16600,Hispanic,Female,2005
Alaska,27,Incidence,17102,Hispanic,Female,2006
Alaska,0,Mortality,17102,Hispanic,Female,2006
Alaska,31,Incidence,17568,Hispanic,Female,2007
Alaska,0,Mortality,17568,Hispanic,Female,2007
Alaska,144,Incidence,93775,Hispanic,Female,2009
Alaska,21,Mortality,90697,Hispanic,Female,2009
Alaska,34,Incidence,17962,Hispanic,Female,2008
Alaska,0,Mortality,17962,Hispanic,Female,2008
Alaska,19,Incidence,18761,Hispanic,Female,2009
Alaska,0,Mortality,18761,Hispanic,Female,2009
Alaska,24,Incidence,19286,Hispanic,Female,2010
Alaska,0,Mortality,19304,Hispanic,Female,2010
Alaska,36,Incidence,20198,Hispanic,Female,2011
Alaska,0,Mortality,19304,Hispanic,Female,2011
Alaska,21,Incidence,12333,Hispanic,Male,1999
Alaska,0,Mortality,12333,Hispanic,Male,1999
Alaska,0,Incidence,13320,Hispanic,Male,2000
